cate_product_title,cate_pirce,cate_vendor,cate_voucher,cate_new_tag,listing_link,listing_link,Brand,Product type,Profile,Layout size,Layout standard,Layout ergonomics,Hot-swappable,Knob support,Rgb support,Display support,QMK/VIA,Connection,Battery capacity,Mount style,Case material,Keycap material,scraping_date
Varmilo Minilo VXB67 Mendozae EC,$119,MK,None,None,https://keeb-finder.com/keyboards/minilo-vxb67-wireless-mendozae,https://keeb-finder.com/keyboards/minilo-vxb67-wireless-mendozae,Varmilo,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VA Series V2 Yakumo,$125,MK,None,None,https://keeb-finder.com/keyboards/vea87-yakumo,https://keeb-finder.com/keyboards/vea87-yakumo,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,"Wired, Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VA Series V2 Sakura Round 2,$115,MK,None,None,https://keeb-finder.com/keyboards/vea87-sakura-r2,https://keeb-finder.com/keyboards/vea87-sakura-r2,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,"Wired, Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo Sword 2108 Warrior Soar Aluminum EC,$399,MK,None,None,https://keeb-finder.com/keyboards/sword-2-108-warrior-soar,https://keeb-finder.com/keyboards/sword-2-108-warrior-soar,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Metal,PBT,2024-03-28
Varmilo MA Series V2 Sea Melody EC,$144,MK,None,None,https://keeb-finder.com/keyboards/vem87-sea-melody,https://keeb-finder.com/keyboards/vem87-sea-melody,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VA Series V2 Love Birds Yang I,$139,MK,None,None,https://keeb-finder.com/keyboards/vea87-love-birds-yang-i,https://keeb-finder.com/keyboards/vea87-love-birds-yang-i,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,"Wired, Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Keychron K4 V2 Laser Etched,$109,MK,None,None,https://keeb-finder.com/keyboards/keychron-k4v2-hotswap-aluminum,https://keeb-finder.com/keyboards/keychron-k4v2-hotswap-aluminum,Keychron,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, Wireless",4000 mAh,Plate Mount,Aluminum,ABS,2024-03-28
Varmilo Sword 287 Moonlight Aluminum EC,$339,MK,None,None,https://keeb-finder.com/keyboards/sword-2-87-moonlight,https://keeb-finder.com/keyboards/sword-2-87-moonlight,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Aluminum,PBT,2024-03-28
Varmilo MA Series V2 Beijing Opera EC,$149,MK,None,None,https://keeb-finder.com/keyboards/vem87-beijing-opera,https://keeb-finder.com/keyboards/vem87-beijing-opera,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Vortex Tab 60,$99,MK,None,None,https://keeb-finder.com/keyboards/tab-60,https://keeb-finder.com/keyboards/tab-60,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,Yes,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Vortex Cypher Split Spacebar US2 Laser Etched,$64,MK,None,None,https://keeb-finder.com/keyboards/cypher-split-spacebar-us2,https://keeb-finder.com/keyboards/cypher-split-spacebar-us2,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Ducky One 2 Horizon,$99,MK,None,None,https://keeb-finder.com/keyboards/one-2-horizon,https://keeb-finder.com/keyboards/one-2-horizon,Ducky,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPE87 Summit R1 Triple Mode,$162,MK,None,None,https://keeb-finder.com/keyboards/varmilo-vpe87-summit-r1,https://keeb-finder.com/keyboards/varmilo-vpe87-summit-r1,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,"2.4 GHz, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPE108 Summit R1 Triple Mode,$194,MK,None,None,https://keeb-finder.com/keyboards/varmilo-vpe108-summit-r1,https://keeb-finder.com/keyboards/varmilo-vpe108-summit-r1,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,No,No,No,"2.4 GHz, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH108 Sakura R2,$156,MK,None,None,https://keeb-finder.com/keyboards/vph108-sakura-r2,https://keeb-finder.com/keyboards/vph108-sakura-r2,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH108 Mac,$148,MK,None,None,https://keeb-finder.com/keyboards/vph108-mac,https://keeb-finder.com/keyboards/vph108-mac,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH108 Charcoal,$160,MK,None,None,https://keeb-finder.com/keyboards/vph108-charcoal,https://keeb-finder.com/keyboards/vph108-charcoal,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM108 Beijing Opera EC,$165,MK,None,None,https://keeb-finder.com/keyboards/vpm108-beijing-opera,https://keeb-finder.com/keyboards/vpm108-beijing-opera,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Vortex KBt RE: 66,$114,MK,None,None,https://keeb-finder.com/keyboards/kbt-re-66,https://keeb-finder.com/keyboards/kbt-re-66,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,No,No,No,"Bluetooth, 2.4 GHz, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Mistel Sleeker Black Aluminum,$154,MK,None,None,https://keeb-finder.com/keyboards/sleeker-black,https://keeb-finder.com/keyboards/sleeker-black,Mistel,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Aluminum,PBT,2024-03-28
Mistel Barocco White,$129,MK,None,None,https://keeb-finder.com/keyboards/barocco-white-rgb,https://keeb-finder.com/keyboards/barocco-white-rgb,Mistel,Keyboard,Normal Profile,Other,ANSI,Split,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Mistel Barocco White Laser Engraved,$114,MK,None,None,https://keeb-finder.com/keyboards/barocco-white,https://keeb-finder.com/keyboards/barocco-white,Mistel,Keyboard,Normal Profile,Other,ANSI,Split,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VA108M Football / Soccer Brazil,$129,MK,None,None,https://keeb-finder.com/keyboards/va108m-football-soccer-brazil,https://keeb-finder.com/keyboards/va108m-football-soccer-brazil,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Leopold FC750RBT Black PD,$139,MK,None,None,https://keeb-finder.com/keyboards/fc750rbt-bluetooth-black-pd,https://keeb-finder.com/keyboards/fc750rbt-bluetooth-black-pd,Leopold,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
MK Shadow Guard Light Multi,$89,MK,None,None,https://keeb-finder.com/keyboards/shadow-guard-light,https://keeb-finder.com/keyboards/shadow-guard-light,MK,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Aluminum,ABS,2024-03-28
KBDFans KBDPad Mark 2 Grey Numpad DIY,$109,MK,None,None,https://keeb-finder.com/keyboards/kbdfans-kbdpad-mark-2-grey-numpad-diy-keyboard-kit,https://keeb-finder.com/keyboards/kbdfans-kbdpad-mark-2-grey-numpad-diy-keyboard-kit,KBDFans,Keyboard Kit,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Top Mount,Aluminum,Unknown,2024-03-28
Filco Majestouch Xacro M10SP Black Split,$149,MK,None,None,https://keeb-finder.com/keyboards/filco-majestouch-xacro-m10sp-black-65-split-double-shot-pbt,https://keeb-finder.com/keyboards/filco-majestouch-xacro-m10sp-black-65-split-double-shot-pbt,Filco,Keyboard,Normal Profile,Other,ANSI,Split,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
MK ProjectD Outlaw 65 Aluminum DIY DIY,$299,MK,None,None,https://keeb-finder.com/keyboards/projectd-by-ducky-outlaw-65,https://keeb-finder.com/keyboards/projectd-by-ducky-outlaw-65,MK,Keyboard Kit,Normal Profile,65%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Plate Mount,Aluminum,Unknown,2024-03-28
Glorious GMMK Numpad Aluminum,$129,MK,None,None,https://keeb-finder.com/keyboards/glorious-pc-gmmk-numpad,https://keeb-finder.com/keyboards/glorious-pc-gmmk-numpad,Glorious,Keyboard,Normal Profile,Numpad,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, Wireless",-,Plate Mount,Aluminum,ABS,2024-03-28
Varmilo Minilo VXB81 Bluebell,$139,MK,None,None,https://keeb-finder.com/keyboards/minilo-vxb81-bluebell,https://keeb-finder.com/keyboards/minilo-vxb81-bluebell,Varmilo,Keyboard,Normal Profile,75%,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,ABS,2024-03-28
Mistel Air One Ultra Low Profile,$169,MK,None,None,https://keeb-finder.com/keyboards/mistel-air-one,https://keeb-finder.com/keyboards/mistel-air-one,Mistel,Keyboard,Low Profile,60%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Plate Mount,Aluminum,ABS,2024-03-28
Mistel MD600 Black,$139,MK,None,None,https://keeb-finder.com/keyboards/md600-black-rgb,https://keeb-finder.com/keyboards/md600-black-rgb,Mistel,Keyboard,Normal Profile,Other,ANSI,Split,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VB21M Sea Melody Numpad,$59,MK,None,None,https://keeb-finder.com/keyboards/vb21m-sea-melody,https://keeb-finder.com/keyboards/vb21m-sea-melody,Varmilo,Keyboard,Normal Profile,Numpad,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH87 Chang'e,$169,MK,None,None,https://keeb-finder.com/keyboards/vph87-change,https://keeb-finder.com/keyboards/vph87-change,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
KBParadise V80 V2 Black Crystal Polycarbonate,$96,MK,None,None,https://keeb-finder.com/keyboards/v80-v2-black-crystal-white-led,https://keeb-finder.com/keyboards/v80-v2-black-crystal-white-led,KBParadise,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,ABS,2024-03-28
Keychron Q1 V2 Special Edition Aluminum,$189,MK,None,None,https://keeb-finder.com/keyboards/keychron-q1-v2-w-knob-special-edition,https://keeb-finder.com/keyboards/keychron-q1-v2-w-knob-special-edition,Keychron,Keyboard,Normal Profile,75%,ANSI,Normal,Yes,Yes,Yes,No,Yes,Wired,No battery,Plate Mount,Aluminum,ABS,2024-03-28
Leopold FC660MBT Ash Yellow,$129,MK,None,None,https://keeb-finder.com/keyboards/fc660mbt-ash-yellow,https://keeb-finder.com/keyboards/fc660mbt-ash-yellow,Leopold,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Mistel MD600 Alpha Black Alice,$149,MK,None,None,https://keeb-finder.com/keyboards/md600-alpha-rgb-black,https://keeb-finder.com/keyboards/md600-alpha-rgb-black,Mistel,Keyboard,Normal Profile,60%,ANSI,Alice,Yes,No,Yes,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Leopold FC750RBT White/Green PD,$139,MK,None,None,https://keeb-finder.com/keyboards/fc750rbt-bluetooth-whitegreen-pd,https://keeb-finder.com/keyboards/fc750rbt-bluetooth-whitegreen-pd,Leopold,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Leopold FC900RBT Navy/Blue PD,$149,MK,None,None,https://keeb-finder.com/keyboards/fc900rbt-bluetooth-navyblue-pd,https://keeb-finder.com/keyboards/fc900rbt-bluetooth-navyblue-pd,Leopold,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Vortex PC66 68Key Dark Grey,$104,MK,None,None,https://keeb-finder.com/keyboards/vortex-pc66-68-key-dark-grey,https://keeb-finder.com/keyboards/vortex-pc66-68-key-dark-grey,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,No,No,No,"Bluetooth, 2.4 GHz, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM108 Chang'e Size EC,$217,MK,None,None,https://keeb-finder.com/keyboards/vpm108-change,https://keeb-finder.com/keyboards/vpm108-change,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM87 Chang'e EC,$204,MK,None,None,https://keeb-finder.com/keyboards/vpm87-change,https://keeb-finder.com/keyboards/vpm87-change,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo Minilo VXH67 Mendozae,$109,MK,None,None,https://keeb-finder.com/keyboards/minilo-vxh67-mendozae-hotswap,https://keeb-finder.com/keyboards/minilo-vxh67-mendozae-hotswap,Varmilo,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,ABS,2024-03-28
Mistel MD770 White,$159,MK,None,None,https://keeb-finder.com/keyboards/md770-rgb-white,https://keeb-finder.com/keyboards/md770-rgb-white,Mistel,Keyboard,Normal Profile,Other,ANSI,Split,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Glorious PC GMMK Pro Black Slate Aluminum Barebones Hotwswap,$169,MK,None,None,https://keeb-finder.com/keyboards/gmmk-pro-barebones-black-slate,https://keeb-finder.com/keyboards/gmmk-pro-barebones-black-slate,Glorious,Keyboard Kit,Normal Profile,75%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Plate Mount,Aluminum,Unknown,2024-03-28
Varmilo MA Series V2 Love Birds Yuan You EC,$149,MK,None,None,https://keeb-finder.com/keyboards/vem87-love-birds-yuan-you,https://keeb-finder.com/keyboards/vem87-love-birds-yuan-you,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Keychron K3 Low Profile,$94,MK,None,None,https://keeb-finder.com/keyboards/k3-hotswap-optical,https://keeb-finder.com/keyboards/k3-hotswap-optical,Keychron,Keyboard,Low Profile,75%,ANSI,Normal,Yes,No,Yes,No,No,"Bluetooth, Wireless",-,Plate Mount,Aluminum,ABS,2024-03-28
KBParadise V60 The 2 53 Station,$79,MK,None,None,https://keeb-finder.com/keyboards/v60-the-2-53-station-rgb,https://keeb-finder.com/keyboards/v60-the-2-53-station-rgb,KBParadise,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo Sword 216 Flying Tigers Numpad Aluminum EC,$80,MK,None,None,https://keeb-finder.com/keyboards/sword-2-16-flying-tigers,https://keeb-finder.com/keyboards/sword-2-16-flying-tigers,Varmilo,Keyboard,Normal Profile,Numpad,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Aluminum,PBT,2024-03-28
Varmilo x x Miya Pro Flare Star Special Edition EC,$155,MK,None,None,https://keeb-finder.com/keyboards/miya-pro-flare-star,https://keeb-finder.com/keyboards/miya-pro-flare-star,Varmilo,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo Lure Series Awake EC,$159,MK,None,None,https://keeb-finder.com/keyboards/vbm108-lure-bot-awake,https://keeb-finder.com/keyboards/vbm108-lure-bot-awake,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Mistel MD770 Glaze Blue,$179,MK,None,None,https://keeb-finder.com/keyboards/md770-rgb-bluetooth-glaze-blue,https://keeb-finder.com/keyboards/md770-rgb-bluetooth-glaze-blue,Mistel,Keyboard,Normal Profile,Other,ANSI,Split,No,No,Yes,No,No,"Bluetooth, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Hexgears X1 Low Profile,$89,Apos,None,None,https://keeb-finder.com/keyboards/hexgears-x-1-mechanical-keyboard,https://keeb-finder.com/keyboards/hexgears-x-1-mechanical-keyboard,Hexgears,Keyboard,Low Profile,80%,ANSI,Normal,No,No,Yes,No,No,"Bluetooth, Wireless",2400 mAh,Plate Mount,Aluminum,Unknown,2024-03-28
0.01 Z62 Silver Blank Blank,$59,MK,None,None,https://keeb-finder.com/keyboards/z62-silver-blank,https://keeb-finder.com/keyboards/z62-silver-blank,0.01,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
KBParadise V80 Front Print,$94,MK,None,None,https://keeb-finder.com/keyboards/v80-front-print,https://keeb-finder.com/keyboards/v80-front-print,KBParadise,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,ABS,2024-03-28
KBParadise V60 Type R Polestar Deep Ocean,$84,MK,None,None,https://keeb-finder.com/keyboards/v60-type-r-polestar-deep-ocean,https://keeb-finder.com/keyboards/v60-type-r-polestar-deep-ocean,KBParadise,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,ABS,2024-03-28
Mistel MD770,$126,MK,None,None,https://keeb-finder.com/keyboards/md770,https://keeb-finder.com/keyboards/md770,Mistel,Keyboard,Normal Profile,Other,ANSI,Split,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Vortex Cypher Single Spacebar US1 Laser Etched,$64,MK,None,None,https://keeb-finder.com/keyboards/cypher-single-spacebar-us1,https://keeb-finder.com/keyboards/cypher-single-spacebar-us1,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Vortex M0110 625,$139,MK,None,None,https://keeb-finder.com/keyboards/m0110-625-qmk,https://keeb-finder.com/keyboards/m0110-625-qmk,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,Yes,No,Yes,No,Yes,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Leopold FC210TP Black Case Numpad,$59,MK,None,None,https://keeb-finder.com/keyboards/fc210tp-black-case,https://keeb-finder.com/keyboards/fc210tp-black-case,Leopold,Keyboard,Normal Profile,30%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
KBParadise V80 V2 White Great Wave,$102,MK,None,None,https://keeb-finder.com/keyboards/v80-v2-white-great-wave-white-led,https://keeb-finder.com/keyboards/v80-v2-white-great-wave-white-led,KBParadise,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,Yes,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPE108 Aurora Triple Mode,$190,MK,None,None,https://keeb-finder.com/keyboards/varmilo-vpe108-aurora,https://keeb-finder.com/keyboards/varmilo-vpe108-aurora,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,No,No,No,"2.4 GHz, Wireless",-,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH108 Aurora,$193,MK,None,None,https://keeb-finder.com/keyboards/vph108-aurora,https://keeb-finder.com/keyboards/vph108-aurora,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH87 Sakura R2,$147,MK,None,None,https://keeb-finder.com/keyboards/vph87-sakura-r2,https://keeb-finder.com/keyboards/vph87-sakura-r2,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH87 Dreams on Board,$143,MK,None,None,https://keeb-finder.com/keyboards/vph87-dreams-on-board,https://keeb-finder.com/keyboards/vph87-dreams-on-board,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH87 Panda R2,$138,MK,None,None,https://keeb-finder.com/keyboards/vph87-panda-r2,https://keeb-finder.com/keyboards/vph87-panda-r2,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPH87 Charcoal,$126,MK,None,None,https://keeb-finder.com/keyboards/varmilo-vph87-charcoal,https://keeb-finder.com/keyboards/varmilo-vph87-charcoal,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM108 Moonlight,$155,MK,None,None,https://keeb-finder.com/keyboards/vpm108-moonlight,https://keeb-finder.com/keyboards/vpm108-moonlight,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM87 Koi EC,$132,MK,None,None,https://keeb-finder.com/keyboards/vpm87-koi,https://keeb-finder.com/keyboards/vpm87-koi,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM87 Dreams on Board EC,$132,MK,None,None,https://keeb-finder.com/keyboards/vpm87-dreams-on-board,https://keeb-finder.com/keyboards/vpm87-dreams-on-board,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM108 Sea Melody EC,$157,MK,None,None,https://keeb-finder.com/keyboards/vpm108-sea-melody,https://keeb-finder.com/keyboards/vpm108-sea-melody,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM87 Panda EC,$135,MK,None,None,https://keeb-finder.com/keyboards/vpm87-panda-r2,https://keeb-finder.com/keyboards/vpm87-panda-r2,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM87 Moonlight EC,$130,MK,None,None,https://keeb-finder.com/keyboards/vpm87-moonlight,https://keeb-finder.com/keyboards/vpm87-moonlight,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM87 EC,$131,MK,None,None,https://keeb-finder.com/keyboards/vpm87-cmyk,https://keeb-finder.com/keyboards/vpm87-cmyk,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Leopold FC650MDS Blue/Grey PD,$119,MK,None,None,https://keeb-finder.com/keyboards/fc650mds-bluegrey-pd,https://keeb-finder.com/keyboards/fc650mds-bluegrey-pd,Leopold,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Leopold FC650MDS White Blue Star PD,$119,MK,None,None,https://keeb-finder.com/keyboards/fc650mds-white-blue-star-pd,https://keeb-finder.com/keyboards/fc650mds-white-blue-star-pd,Leopold,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VA87M Chicken Dinner,$129,MK,None,None,https://keeb-finder.com/keyboards/va87m-chicken-dinner,https://keeb-finder.com/keyboards/va87m-chicken-dinner,Varmilo,Keyboard,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VA108M Chicken Dinner,$129,MK,None,None,https://keeb-finder.com/keyboards/va108m-chicken-dinner,https://keeb-finder.com/keyboards/va108m-chicken-dinner,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Varmilo VPM108 Panda R2,$160,MK,None,None,https://keeb-finder.com/keyboards/vpm108-panda-r2,https://keeb-finder.com/keyboards/vpm108-panda-r2,Varmilo,Keyboard,Normal Profile,100%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Plate Mount,Plastic,PBT,2024-03-28
Vortex POK3R White Case,$114,MK,None,None,https://keeb-finder.com/keyboards/pok3r-white-case,https://keeb-finder.com/keyboards/pok3r-white-case,Vortex,Keyboard,Normal Profile,60%,ANSI,Normal,No,No,Yes,No,No,Wired,No battery,Plate Mount,Aluminum,PBT,2024-03-28
KBDFans KBDPad Mark 2 Rose Gold Numpad DIY,$109,MK,None,None,https://keeb-finder.com/keyboards/kbdpad-mark-2-rose-gold-numpad-diy-keyboard-kit,https://keeb-finder.com/keyboards/kbdpad-mark-2-rose-gold-numpad-diy-keyboard-kit,KBDFans,Keyboard Kit,Normal Profile,80%,ANSI,Normal,No,No,No,No,No,Wired,No battery,Top Mount,Aluminum,Unknown,2024-03-28
Glorious PC GMMK izable / Barebones,$70,MK,None,None,https://keeb-finder.com/keyboards/gmmk-customizable-barebones-iso-tkl-none,https://keeb-finder.com/keyboards/gmmk-customizable-barebones-iso-tkl-none,Glorious,Keyboard Kit,Normal Profile,80%,"ISO ES, ISO",Normal,Yes,No,Yes,No,No,Wired,No battery,Plate Mount,Aluminum,Unknown,2024-03-28
Keychron Q3 Pro Special Edition Aluminum Mac Win,$194,MK,None,None,https://keeb-finder.com/keyboards/keychron-q3-pro-w-knob-special-edition,https://keeb-finder.com/keyboards/keychron-q3-pro-w-knob-special-edition,Keychron,Keyboard,Normal Profile,80%,ANSI,Normal,Yes,Yes,Yes,No,Yes,"Bluetooth, Wireless",-,Plate Mount,Aluminum,PBT,2024-03-28
